index,previous_linux,speaker_windows,headphone_windows,v2_behavior
0x06,0x6114,0x6104,0x6104,written+required
0x10,0x1d20,0x7f20,0x7f20,written+required
0x16,0x0e50,0x0e50,0x0c50,written+required
0x18,0x0008,0x003c,0x0003,NOT_WRITTEN_dynamic_reference_only
0x1b,0x0a4b,0x0e4b,0x0e6b,written+required
0x23,0x8804,0x8804,0x88f4,written_best_effort_dynamic_reference_only
0x30,0x9004,0x9004,0x9007,written+required
0x35,0x0d6a,0x8d6a,0x8d6a,written+required
0x37,0xfe15,0xfe16,0xfe06,written+required
0x45,0x5089,0xd089,0xd489,written+required
0x46,0x0204,0x0034,0x00f4,written+required
0x49,0x0049,0x0049,0x0149,written+required
